Name_Console,Name,Platform,Publisher,Genre,Release_Year,Release_Month,First_Week,Total_Sales,Critic_Score,User_Score
Tekken Tag Tournament 2 (X360),Tekken Tag Tournament 2,X360,Namco Bandai Games,Fighting,2012,9,72041.0,72041.0,N/A,N/A
Tekken: Dark Resurrection (PSP),Tekken: Dark Resurrection,PSP,Sony Computer Entertainment,Fighting,2006,7,53251.0,173686.0,8.7,N/A
Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion (DS),Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion,DS,Konami Digital Entertainment,Sports,2011,6,31006.0,31006.0,N/A,N/A
Tennis no Oji-Sama: 2005 Crystal Drive (DS),Tennis no Oji-Sama: 2005 Crystal Drive,DS,Konami Digital Entertainment,Sports,2005,1,26465.0,44451.0,N/A,N/A
Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition (DS),Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS,Konami Digital Entertainment,Sports,2010,2,44834.0,44834.0,N/A,N/A
Terminator Salvation (X360),Terminator Salvation,X360,Taito,Shooter,2009,5,24886.0,24886.0,5.2,N/A
Terraria (PS3),Terraria,PS3,Spike Co.,Action,2013,5,19424.0,19424.0,N/A,N/A
Test Drive Unlimited (X360),Test Drive Unlimited,X360,Atari,Racing,2006,9,44761.0,89267.0,6.8,N/A
Test Drive Unlimited 2 (PS3),Test Drive Unlimited 2,PS3,Atari,Racing,2011,2,107966.0,154590.0,6.9,N/A
Test Drive Unlimited 2 (X360),Test Drive Unlimited 2,X360,Atari,Racing,2011,2,188803.0,255539.0,6.8,N/A
Tetris DS (DS),Tetris DS,DS,Nintendo,Puzzle,2006,3,37081.0,330912.0,8.5,N/A
The Alliance Alive (3DS),The Alliance Alive,3DS,Atlus,Role-Playing,2017,6,28178.0,28178.0,N/A,N/A
The Amazing Spider-Man (Console Version) (PS3),The Amazing Spider-Man (Console Version),PS3,Activision,Action,2012,6,70725.0,177867.0,,
The Amazing Spider-Man (Console Version) (X360),The Amazing Spider-Man (Console Version),X360,Activision,Action,2012,6,87337.0,167576.0,,
The Amazing Spider-Man 2 (2014) (PS3),The Amazing Spider-Man 2 (2014),PS3,Activision,Action,2014,5,28086.0,49010.0,N/A,N/A
The Amazing Spider-Man 2 (2014) (PS4),The Amazing Spider-Man 2 (2014),PS4,Activision,Action,2014,5,71337.0,127274.0,N/A,N/A
The Amazing Spider-Man 2 (2014) (X360),The Amazing Spider-Man 2 (2014),X360,Activision,Action,2014,5,31190.0,49813.0,N/A,N/A
The Amazing Spider-Man 2 (2014) (XOne),The Amazing Spider-Man 2 (2014),XOne,Activision,Action,2014,5,17241.0,17241.0,N/A,N/A
The BIGS 2 (X360),The BIGS 2,X360,Take-Two Interactive,Sports,2009,7,32508.0,32508.0,N/A,N/A
The Beatles: Rock Band (PS3),The Beatles: Rock Band,PS3,MTV Games,Misc,2009,9,159973.0,214426.0,8.7,N/A
The Beatles: Rock Band (Wii),The Beatles: Rock Band,Wii,MTV Games,Misc,2009,9,258510.0,395030.0,9.0,N/A
The Beatles: Rock Band (X360),The Beatles: Rock Band,X360,MTV Games,Misc,2009,9,268497.0,410337.0,8.9,N/A
The Binding of Isaac (NS),The Binding of Isaac,NS,Nicalis,Action,2017,3,23209.0,23209.0,9.0,N/A
The Bureau: XCOM Declassified (PS3),The Bureau: XCOM Declassified,PS3,Take-Two Interactive,Shooter,2013,8,43389.0,43389.0,N/A,N/A
The Bureau: XCOM Declassified (X360),The Bureau: XCOM Declassified,X360,Take-Two Interactive,Shooter,2013,8,55041.0,55041.0,N/A,N/A
The Chronicles of Riddick: Assault on Dark Athena (X360),The Chronicles of Riddick: Assault on Dark Athena,X360,Atari,Shooter,2009,4,39975.0,90630.0,8.2,N/A
The Conduit (Wii),The Conduit,Wii,Sega,Shooter,2009,6,64524.0,161122.0,6.6,8.2
The Crew (PS4),The Crew,PS4,Ubisoft,Racing,2014,12,345162.0,981818.0,N/A,N/A
The Crew (XOne),The Crew,XOne,Ubisoft,Racing,2014,12,141399.0,141399.0,N/A,N/A
The Crew 2 (PS4),The Crew 2,PS4,Ubisoft,Racing,2018,6,207236.0,432638.0,6.5,N/A
The Crew 2 (XOne),The Crew 2,XOne,Ubisoft,Racing,2018,6,75474.0,104319.0,N/A,N/A
The Darkness (X360),The Darkness,X360,Take-Two Interactive,Shooter,2007,6,113804.0,149033.0,8.3,N/A
The Darkness II (PS3),The Darkness II,PS3,Take-Two Interactive,Shooter,2012,2,69962.0,69962.0,N/A,N/A
The Darkness II (X360),The Darkness II,X360,Take-Two Interactive,Shooter,2012,2,110160.0,110160.0,N/A,N/A
The Elder Scrolls IV: Oblivion (PS3),The Elder Scrolls IV: Oblivion,PS3,Ubisoft,Role-Playing,2007,3,57089.0,154777.0,9.3,N/A
The Elder Scrolls IV: Oblivion (X360),The Elder Scrolls IV: Oblivion,X360,Take-Two Interactive,Role-Playing,2006,3,327462.0,681081.0,9.2,N/A
The Elder Scrolls Online (PC),The Elder Scrolls Online,PC,Bethesda Softworks,Action,2014,4,253316.0,331315.0,N/A,N/A
The Elder Scrolls Online: Morrowind (PS4),The Elder Scrolls Online: Morrowind,PS4,Bethesda Softworks,MMO,2017,6,38514.0,38514.0,N/A,N/A
The Elder Scrolls Online: Morrowind (XOne),The Elder Scrolls Online: Morrowind,XOne,Bethesda Softworks,MMO,2017,6,21643.0,21643.0,N/A,N/A
The Elder Scrolls Online: Tamriel Unlimited (PS4),The Elder Scrolls Online: Tamriel Unlimited,PS4,Bethesda Softworks,Role-Playing,2015,6,655618.0,1084054.0,N/A,N/A
The Elder Scrolls Online: Tamriel Unlimited (XOne),The Elder Scrolls Online: Tamriel Unlimited,XOne,Bethesda Softworks,Role-Playing,2015,6,546614.0,857298.0,N/A,N/A
The Elder Scrolls V: Skyrim (NS),The Elder Scrolls V: Skyrim,NS,Bethesda Softworks,Role-Playing,2017,11,153873.0,153873.0,7.2,N/A
The Elder Scrolls V: Skyrim (PC),The Elder Scrolls V: Skyrim,PC,Bethesda Softworks,Role-Playing,2011,11,663292.0,1158578.0,9.2,N/A
The Elder Scrolls V: Skyrim (PS3),The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,Role-Playing,2011,11,959545.0,2384533.0,9.0,N/A
The Elder Scrolls V: Skyrim (PS4),The Elder Scrolls V: Skyrim,PS4,Bethesda Softworks,Role-Playing,2016,10,589449.0,1425792.0,8.3,N/A
The Elder Scrolls V: Skyrim (X360),The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Role-Playing,2011,11,1822763.0,4076049.0,9.3,N/A
The Elder Scrolls V: Skyrim (XOne),The Elder Scrolls V: Skyrim,XOne,Bethesda Softworks,Role-Playing,2016,10,349285.0,841689.0,8.1,N/A
The Elder Scrolls V: Skyrim PSVR (PS4),The Elder Scrolls V: Skyrim PSVR,PS4,Bethesda Softworks,Role-Playing,2017,11,109194.0,271722.0,,
The Evil Within (PC),The Evil Within,PC,Bethesda Softworks,Action,2014,10,44330.0,44330.0,5.5,N/A
The Evil Within (PS3),The Evil Within,PS3,Bethesda Softworks,Action,2014,10,120598.0,317271.0,N/A,N/A
The Evil Within (PS4),The Evil Within,PS4,Bethesda Softworks,Action,2014,10,406577.0,731108.0,7.7,N/A
The Evil Within (X360),The Evil Within,X360,Bethesda Softworks,Action,2014,10,77840.0,77840.0,N/A,N/A
The Evil Within (XOne),The Evil Within,XOne,Bethesda Softworks,Action,2014,10,138479.0,218104.0,7.9,N/A
The Evil Within II (PS4),The Evil Within II,PS4,Bethesda Softworks,Action,2017,10,156361.0,300060.0,,
The Evil Within II (XOne),The Evil Within II,XOne,Bethesda Softworks,Action,2017,10,47436.0,47436.0,,
The Godfather (US & Others sales) (X360),The Godfather (US & Others sales),X360,Electronic Arts,Action,2006,9,58145.0,77838.0,N/A,N/A
The Godfather II (PS3),The Godfather II,PS3,Electronic Arts,Adventure,2009,4,108970.0,214972.0,6.4,N/A
The Godfather II (X360),The Godfather II,X360,Electronic Arts,Adventure,2009,4,121410.0,285551.0,6.2,N/A
The Heavy Rain and Beyond: Two Souls Collection (PS4),The Heavy Rain and Beyond: Two Souls Collection,PS4,Sony Computer Entertainment,Action,2016,3,34566.0,34566.0,N/A,N/A
The House of the Dead: Overkill (Wii),The House of the Dead: Overkill,Wii,Sega,Shooter,2009,2,32827.0,110244.0,7.9,N/A
The ICO & Shadow of the Colossus Collection (PS3),The ICO & Shadow of the Colossus Collection,PS3,Sony Computer Entertainment,Adventure,2011,9,89112.0,303497.0,9.0,N/A
The IdolM@ster: One for All (PS3),The IdolM@ster: One for All,PS3,Namco Bandai Games,Misc,2014,5,83010.0,83010.0,N/A,N/A
The Idolm@ster (X360),The Idolm@ster,X360,Namco Bandai Games,Simulation,2007,1,25527.0,25527.0,N/A,N/A
The Idolm@ster 2 (PS3),The Idolm@ster 2,PS3,Namco Bandai Games,Misc,2011,10,64188.0,64188.0,N/A,N/A
The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon (PSP),The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,PSP,Namco Bandai Games,Adventure,2009,2,121983.0,121983.0,N/A,N/A
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune (PSP),The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,PSP,Namco Bandai Games,Action,2012,10,111835.0,111835.0,N/A,N/A
The Idolmaster: Platinum Stars (PS4),The Idolmaster: Platinum Stars,PS4,Namco Bandai Games,Simulation,2016,7,75048.0,75048.0,N/A,N/A
The Inpatient (PS4),The Inpatient,PS4,Sony Interactive Entertainment,Action,2018,1,44768.0,44768.0,N/A,N/A
The King of Fighters XII (PS3),The King of Fighters XII,PS3,Ignition Entertainment,Fighting,2009,8,40295.0,40295.0,7.8,N/A
The King of Fighters XIV (PS4),The King of Fighters XIV,PS4,Deep Silver,Fighting,2016,8,65327.0,65327.0,N/A,N/A
The LEGO Movie Videogame (PS3),The LEGO Movie Videogame,PS3,Warner Bros. Interactive Entertainment,Action,2014,2,52684.0,157326.0,N/A,N/A
The LEGO Movie Videogame (X360),The LEGO Movie Videogame,X360,Warner Bros. Interactive Entertainment,Action,2014,2,89248.0,349716.0,N/A,N/A
The Last Guardian (PS4),The Last Guardian,PS4,Sony Computer Entertainment,Action-Adventure,2016,12,457227.0,953304.0,7.9,N/A
The Last Remnant (X360),The Last Remnant,X360,Square Enix,Role-Playing,2008,11,166696.0,166696.0,6.5,8.0
The Last Story (Wii),The Last Story,Wii,Nintendo,Role-Playing,2011,1,112021.0,112021.0,N/A,N/A
The Last of Us (PS3),The Last of Us,PS3,Sony Computer Entertainment America,Adventure,2013,6,1319206.0,2854493.0,9.5,N/A
The Last of Us Remastered (PS4),The Last of Us Remastered,PS4,Sony Computer Entertainment America,Adventure,2014,8,688360.0,1280261.0,9.5,N/A
The Legend of Heroes: Ao no Kiseki (PSP),The Legend of Heroes: Ao no Kiseki,PSP,Falcom Corporation,Role-Playing,2011,10,132295.0,132295.0,N/A,N/A
The Legend of Heroes: Ao no Kiseki Evolution (PSV),The Legend of Heroes: Ao no Kiseki Evolution,PSV,Nihon Falcom Corporation,Role-Playing,2014,6,22048.0,22048.0,,
The Legend of Heroes: Sen no Kiseki (PS3),The Legend of Heroes: Sen no Kiseki,PS3,Nihon Falcom Corporation,Role-Playing,2013,9,69426.0,69426.0,,
The Legend of Heroes: Sen no Kiseki (PSV),The Legend of Heroes: Sen no Kiseki,PSV,Nihon Falcom Corporation,Role-Playing,2013,9,85471.0,85471.0,,
The Legend of Heroes: Sen no Kiseki II (PS3),The Legend of Heroes: Sen no Kiseki II,PS3,Nihon Falcom Corporation,Role-Playing,2014,9,67173.0,67173.0,,
The Legend of Heroes: Sen no Kiseki II (PSV),The Legend of Heroes: Sen no Kiseki II,PSV,Nihon Falcom Corporation,Role-Playing,2014,9,90816.0,90816.0,,
